method,ochiai,jaccard,gp13,wong1,wong2,wong3,tarantula,ample,RussellRao,SorensenDice,Kulczynski1,SimpleMatching,M1,RogersTanimoto,Hamming,ochiai2,Hamann,dice,Kulczynski2,Sokal,M2,Goodman,Euclid,Anderberg,Zoltar,ER1a,ER1b,ER5a,ER5b,ER5c,gp02,gp03,gp19,min_age,max_age,mean_age,num_args,num_vars,b_length,loc,churn,fault
org.apache.commons.lang3.mutable.MutableFloat$<init><F>,0.0,0.0,0.0,0.0,0.953995,0.0483073,0.0,0.0104781,0.0,0.0,0.0,0.953995,0.0476998,0.946165,0.953995,0.0,0.953995,0.0,0.0,0.957962,0.0,0.0,0.956077,0.0,0.0,0.000430293,0.0503404,0.0,0.0,0.000430293,0.14664,0.303733,0.0,1.0,1.0,1.0,0.111111,0.0454545,0.00148324,0.0243902,0.0,0
org.apache.commons.lang3.mutable.MutableFloat$add<Ljava/lang/Number;>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,1.0,1.0,1.0,0.111111,0.0454545,0.00207654,0.0121951,0.0,0
org.apache.commons.lang3.builder.ToStringStyle$appendSummarySize<Ljava/lang/StringBuffer;Ljava/lang/String;I>,0.0,0.0,0.0,0.0,0.975787,0.0892893,0.0,0.00458415,0.0,0.0,0.0,0.975787,0.0887079,0.971555,0.975787,0.0,0.975787,0.0,0.0,0.977918,0.0,0.0,0.976906,0.0,0.0,0.000430293,0.0521972,0.0,0.0,0.000430293,0.0858507,0.200945,0.0,1.0,1.0,1.0,0.333333,0.0909091,0.00415307,0.0365854,0.0,0
org.apache.commons.lang3.reflect.MethodUtils$getAccessibleMethod<Ljava/lang/reflect/Method;>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0104781,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.14664,0.303733,0.0,0.0672714,1.0,0.745619,0.111111,0.0909091,0.00978938,0.121951,0.1,0
org.apache.commons.lang3.text.ExtendedMessageFormat$getFormat<Ljava/lang/String;>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.00261952,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0580374,0.145995,0.0,0.0672714,1.0,0.830413,0.111111,0.136364,0.0124592,0.121951,0.1,0
org.apache.commons.lang3.Validate$notEmpty<[Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;>,0.0,0.0,0.0,0.0,0.985472,0.168481,0.0,0.00523903,0.0,0.0,0.0,0.985472,0.140782,0.982904,0.985472,0.0,0.985472,0.0,0.0,0.986762,0.0,0.0,0.986149,0.0,0.0,0.000430293,0.0530225,0.0,0.0,0.000430293,0.0939065,0.215758,0.0,1.0,1.0,1.0,0.333333,0.0681818,0.00593296,0.0487805,0.0,0
org.apache.commons.lang3.Validate$validIndex<[Ljava/lang/Object;I>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,1.0,1.0,1.0,0.222222,0.0454545,0.00326313,0.0,0.0,0
org.apache.commons.lang3.time.FastDatePrinter$TwoDigitMonthField$appendTo<Ljava/lang/StringBuffer;I>,0.0,0.0,0.0,0.0,0.895884,0.0435557,0.0,0.0261952,0.0,0.0,0.0,0.895884,0.020361,0.879414,0.895884,0.0,0.895884,0.0,0.0,0.904358,0.0,0.0,0.900333,0.0,0.0,0.000430293,0.0453889,0.0,0.0,0.000430293,0.253694,0.451068,0.0,0.227513,0.227513,0.227513,0.222222,0.0681818,0.00533966,0.0243902,0.0,0
org.apache.commons.lang3.text.StrBuilder$lastIndexOf<Ljava/lang/String;>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,1.0,1.0,1.0,0.111111,0.0454545,0.00207654,0.0,0.0,0
org.apache.commons.lang3.BooleanUtils$isFalse<Ljava/lang/Boolean;>,0.0,0.0,0.0,0.0,0.990315,0.208078,0.0,0.000654879,0.0,0.0,0.0,0.990315,0.198063,0.988593,0.990315,0.0,0.990315,0.0,0.0,0.991179,0.0,0.0,0.990768,0.0,0.0,0.000430293,0.0534351,0.0,0.0,0.000430293,0.0194487,0.0557652,0.0,1.0,1.0,1.0,0.111111,0.0227273,0.000889944,0.0,0.0,0
org.apache.commons.lang3.text.StrSubstitutor$replace<Ljava/lang/StringBuffer;>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.00851343,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.12873,0.275378,0.0,0.0672714,1.0,0.813454,0.111111,0.0681818,0.00622961,0.0487805,0.1,0
org.apache.commons.lang3.concurrent.ConcurrentUtils$ConstantFuture$cancel<Z>,0.0,0.0,0.0,0.0,0.990315,0.208078,0.0,0.000654879,0.0,0.0,0.0,0.990315,0.198063,0.988593,0.990315,0.0,0.990315,0.0,0.0,0.991179,0.0,0.0,0.990768,0.0,0.0,0.000430293,0.0534351,0.0,0.0,0.000430293,0.0194487,0.0557652,0.0,1.0,1.0,1.0,0.111111,0.0454545,0.000296648,0.0,0.0,0
org.apache.commons.lang3.ArrayUtils$removeElement<[ZZ>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,0.0672714,1.0,0.766818,0.222222,0.0681818,0.00385642,0.0365854,0.1,0
org.apache.commons.lang3.text.StrSubstitutor$replace<Ljava/lang/Object;Ljava/util/Map;Ljava/lang/String;Ljava/lang/String;>,0.0,0.0,0.0,0.0,0.990315,0.208078,0.0,0.000654879,0.0,0.0,0.0,0.990315,0.198063,0.988593,0.990315,0.0,0.990315,0.0,0.0,0.991179,0.0,0.0,0.990768,0.0,0.0,0.000430293,0.0534351,0.0,0.0,0.000430293,0.0194487,0.0557652,0.0,1.0,1.0,1.0,0.444444,0.0909091,0.00237318,0.0,0.0,0
org.apache.commons.lang3.ArrayUtils$lastIndexOf<[BBI>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.000654879,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0194487,0.0557652,0.0,1.0,1.0,1.0,0.333333,0.0909091,0.00919608,0.109756,0.0,0
org.apache.commons.lang3.builder.EqualsBuilder$isRegistered<Ljava/lang/Object;Ljava/lang/Object;>,0.0,0.0,0.0,0.0,0.968523,0.0494951,0.0,0.00654879,0.0,0.0,0.0,0.968523,0.0691802,0.96307,0.968523,0.0,0.968523,0.0,0.0,0.971274,0.0,0.0,0.969967,0.0,0.0,0.000430293,0.0515783,0.0,0.0,0.000430293,0.108773,0.242021,0.0,0.0672714,0.866969,0.267196,0.222222,0.113636,0.0074162,0.0365854,0.2,0
org.apache.commons.lang3.StringEscapeUtils$CsvEscaper$translate<Ljava/lang/CharSequence;ILjava/io/Writer;>,0.0,0.0,0.0,0.0,0.990315,0.208078,0.0,0.0183366,0.0,0.0,0.0,0.990315,0.198063,0.988593,0.990315,0.0,0.990315,0.0,0.0,0.991179,0.0,0.0,0.990768,0.0,0.0,0.000430293,0.0534351,0.0,0.0,0.000430293,0.205898,0.389221,0.0,0.0325019,1.0,0.9355,0.333333,0.0909091,0.0115693,0.170732,0.2,0
org.apache.commons.lang3.text.StrBuilder$appendFixedWidthPadRight<IIC>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0909091,0.00177989,0.0,0.0,0
org.apache.commons.lang3.text.StrBuilder$StrBuilderWriter$write<[CII>,0.0,0.0,0.0,0.0,0.992736,0.406058,0.0,0.0,0.0,0.0,0.0,0.992736,0.248184,0.991441,0.992736,0.0,0.992736,0.0,0.0,0.993386,0.0,0.0,0.993077,0.0,0.0,0.000430293,0.0536414,0.0,0.0,0.000430293,0.0,0.0,0.0,1.0,1.0,1.0,0.333333,0.0909091,0.00207654,0.0121951,0.0,0
